time,latitude,longitude,depth,mag,magType,id,place,locationSource,Year,date,Month,Energy,country,continent,depth_type
2010-10-31T07:10:40.570Z,-33.661,-71.86,3.36729583,1.7,mwc,usp000hnu9,"offshore Valparaiso, Chile",us,2010,10/31/2010,October,200.33681,Chile,Americas,shallow
2010-10-31T09:58:10.270Z,-23.852,179.95,6.267579983,1.6,mb,usp000hnub,south of the Fiji Islands,us,2010,10/31/2010,October,148.4131591,south of the Fiji Islands,Oceania,deep
2010-10-31T12:23:39.810Z,-3.456,100.043,2.240709689,1.6,mb,usp000hnue,"Kepulauan Mentawai region, Indonesia",us,2010,10/31/2010,October,164.0219073,Indonesia,Asia,shallow
2010-10-31T16:38:49.490Z,-6.385,150.161,2.302585093,1.8,mwc,usp000hnum,"New Britain region, Papua New Guinea",us,2010,10/31/2010,October,330.2995599,Papua New Guinea,Oceania,shallow
2010-10-31T18:49:11.170Z,-6.291,150.272,2.302585093,1.6,mwc,usp000hnut,"New Britain region, Papua New Guinea",us,2010,10/31/2010,October,164.0219073,Papua New Guinea,Oceania,shallow
2010-11-01T05:16:34.400Z,-6.37,150.22,2.163323026,1.7,mwb,usp000hnvd,"New Britain region, Papua New Guinea",us,2010,11/1/2010,November,244.6919323,Papua New Guinea,Oceania,shallow
2010-11-01T23:16:46.700Z,16.738,-93.793,5.120386158,1.7,mwc,usp000hnwa,"Chiapas, Mexico",unm,2010,11/1/2010,November,270.4264074,Mexico,Americas,intermediate
2010-11-02T06:39:55.060Z,-5.355,151.556,3.555348061,1.8,mwc,usp000hnwk,"New Britain region, Papua New Guinea",us,2010,11/2/2010,November,330.2995599,Papua New Guinea,Oceania,shallow
2010-11-02T18:10:14.890Z,47.092,146.747,5.911880068,1.7,mwc,usp000hnx8,northwest of the Kuril Islands,us,2010,11/2/2010,November,244.6919323,northwest of the Kuril Islands,Ocean,deep
2010-11-02T21:30:09.110Z,36.411,71.207,4.603168183,1.6,mb,usp000hnxm,"Hindu Kush region, Afghanistan",us,2010,11/2/2010,November,164.0219073,Afghanistan,Asia,intermediate
