"","r1","Predicted","x","y"
"9699.1",705532.812,8591.92730855192,141.5,38.5
"11381",98289.406,2131.86526322273,61.5,28.5
"11382",32082.689,2131.86526322273,62.5,28.5
"11551",107729.797,2131.86526322273,61.5,27.5
"11552",79141.594,2131.86526322273,62.5,27.5
"13147",436637.188,1583.83881860865,-98.5,16.5
"13148",393073.406,1583.83881860865,-97.5,16.5
"13271",90441.273,1583.83881860865,-97.5,15.5
"13394",963177.375,1583.83881860865,-92.5,14.5
"13395",3803213,1583.83881860865,-91.5,14.5
"14988.1",599065.812,2354.24372077246,-79.5,0.5
"15096.1",543731.125,2354.24372077246,-80.5,-0.5
"15097.1",1040437,2354.24372077246,-79.5,-0.5
"18438",55847.141,3870.19287411207,-71.5,-31.5
"18514",591119.375,3870.19287411207,-71.5,-32.5
